Source: USDA Branded Food Products Database Release v0.9 March 2018 Software v.3.8.6.5 2018-02-04
Report Run at: March 28, 2018 16:13 EDT
"Nutrient data for: 45168659, 100% ORGANIC BLACK BEANS, UPC: 661475004575"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.5 cup = 130.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,150,115
"Protein",g,--,--,10.00,7.69
"Total lipid (fat)",g,--,--,1.50,1.15
"Carbohydrate, by difference",g,--,--,23.00,17.69
"Fiber, total dietary",g,--,--,10.0,7.7
"Sugars, total",g,--,--,1.00,0.77
Minerals
"Calcium, Ca",mg,--,--,40,31
"Iron, Fe",mg,--,--,3.60,2.77
"Sodium, Na",mg,--,--,341,262
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ORGANIC BLACK BEANS, WATER, SEA SALT." Date available: 07/14/2017 Date last updated by company: 07/14/2017
