Source: USDA Branded Food Products Database Release v0.9 March 2018 Software v.3.8.6.5 2018-02-04
Report Run at: March 28, 2018 16:08 EDT
"Nutrient data for: 45178672, JIM'S CHEESE, WISCONSIN CHEESE, SMOKE N' BACON CHEDDAR CHEESE, UPC: 097073100140"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 """"CUBE) | (ABOUT A = 28.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,110,393
"Protein",g,--,--,7.00,25.00
"Total lipid (fat)",g,--,--,9.00,32.14
"Carbohydrate, by difference",g,--,--,1.00,3.57
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,200,714
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,180,643
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,589,2105
Lipids
"Fatty acids, total saturated",g,--,--,5.001,17.860
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,30,107
Amino Acids
Other
Ingredients
"PASTEURIZED MILK, PRECOOKED BACON TOPPING (PORK BACON CURED WITH WATER, SALT, SUGAR, SODIUM PHOSPHATE, SODIUM ERYTHORBATE, SODIUM NITRITE), CHEESE CULTURE, SALT, ANNATTO COLOR, CALCIUM CHLORIDE, ENZYMES." Date available: 11/02/2017 Date last updated by company: 11/02/2017
