Source: USDA Branded Food Products Database Release v0.9 March 2018 Software v.3.8.6.5 2018-02-04
Report Run at: March 28, 2018 16:15 EDT
"Nutrient data for: 45335542, BROWN RICE LONG GRAIN, UPC: 011161019466"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.25 cup = 42.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,150,357
"Protein",g,--,--,3.00,7.14
"Total lipid (fat)",g,--,--,1.00,2.38
"Carbohydrate, by difference",g,--,--,32.00,76.19
"Fiber, total dietary",g,--,--,1.0,2.4
"Sugars, total",g,--,--,0.00,0.00
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,0.77,1.84
"Sodium, Na",mg,--,--,0,0
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"LONG GRAIN BROWN RICE." Date available: 07/14/2017 Date last updated by company: 07/14/2017
